"","iso3.code","area","uq1","uq5","rq1","rq5","u.diff","r.diff"
"19","GIN","Guinea",57.431816348679,92.6053935679043,33.293317723565,49.0665472763567,35.1735772192253,15.7732295527917
"20","GNB","Guinea-Bissau",63.8180388894918,94.3591386079467,27.9711875152701,69.0408014888313,30.5410997184549,41.0696139735612
"21","SEN","Senegal",64.1518143519854,94.2978521214351,21.8169245827611,91.2795617009683,30.1460377694497,69.4626371182073
"22","GHA","Ghana",69.9340345617534,98.9990040833394,42.1879835624026,87.4795397214994,29.064969521586,45.2915561590968
"23","LBR","Liberia",53.1780913372966,80.2463863986892,16.8958841506655,67.4719110938161,27.0682950613926,50.5760269431506
"24","MNG","Mongolia",74.0342896291083,100,13.4195287930872,83.0014174208455,25.9657103708917,69.5818886277583
"25","GMB","Gambia",74.9549047135715,99.9999999999997,60.3742302476414,67.7654464889318,25.0450952864282,7.39121624129042
"26","MLI","Mali",72.1007947734081,96.7757219037633,28.1920949862191,76.6554270356855,24.6749271303552,48.4633320494665
"27","LAO","Lao People's Democratic Republic",74.569835693212,99.0842205583651,55.4578380790679,86.2534315853554,24.5143848651532,30.7955935062876
"28","COM","Comoros",71.6936449015386,95.7022070427744,51.6783991011628,87.2632172474271,24.0085621412358,35.5848181462643
"29","HTI","Haiti",63.3326410737695,86.6774524238108,8.29247204436056,67.0969306897009,23.3448113500412,58.8044586453404
"30","NAM","Namibia",75.6725410322465,98.9923391252536,28.0317895543501,92.0505871541652,23.3197980930072,64.0187975998151
"31","AFG","Afghanistan",71.2094247085655,94.2909981053356,35.0267897081549,77.8408049879422,23.0815733967701,42.8140152797873
"32","SWZ","Eswatini",77.509404016924,100,24.1116990766541,93.4546963539937,22.490595983076,69.3429972773396
"33","PER","Peru",77.7888277657962,99.9639984913188,44.8620200331236,88.4079484079673,22.1751707255227,43.5459283748437
"34","TGO","Togo",66.2993718193779,87.8076116256186,26.1509317200615,60.3124333581677,21.5082398062408,34.1615016381062
"35","LSO","Lesotho",78.2059463510282,99.0487967168107,43.0275439974263,63.2897185038125,20.8428503657825,20.2621745063862
"36","SLE","Sierra Leone",52.3507307372061,73.1863247030157,19.0772588558054,53.8119265171491,20.8355939658096,34.7346676613436
"37","YEM","Yemen",81.1113662944203,98.9633051111722,49.505634412947,81.7955603155041,17.8519388167519,32.2899259025571
"38","NPL","Nepal",80.8813545273591,97.5977710514757,78.6922378900232,99.3940328142684,16.7164165241166,20.7017949242453
"39","TJK","Tajikistan",83.3052561046356,99.8782168118945,51.8930221964827,79.8916293922462,16.5729607072588,27.9986071957636
"40","MDA","Republic of Moldova",82.8149482546278,98.7151956658529,65.5307407231549,93.2380174775105,15.9002474112251,27.7072767543556
"41","KHM","Cambodia",83.7281656335687,96.497029812834,50.3714557310347,86.927015892139,12.7688641792653,36.5555601611043
"42","ZWE","Zimbabwe",80.0507476154825,92.7008348758961,19.4858196642762,67.9557274041488,12.6500872604136,48.4699077398726
"43","IDN","Indonesia",82.9790461997756,95.0075908296143,59.4210361753163,91.489394931671,12.0285446298387,32.0683587563547
"44","KGZ","Kyrgyzstan",90.8541460175111,100,56.2987913747935,97.9439031294286,9.1458539824889,41.6451117546352
"45","GUY","Guyana",91.3217741723753,99.7890676885345,70.4520694917219,99.7354343432144,8.46729351615922,29.2833648514925
"46","PHL","Philippines",88.9684949966621,97.2340242509854,68.9752867848013,94.8381763765075,8.26552925432334,25.8628895917062
"47","IND","India",85.5255353946603,93.2552859972857,78.6854274414725,88.1671513846536,7.72975060262547,9.48172394318112
"48","VNM","Viet Nam",92.7411850934873,100,72.8978778464018,99.1395196343001,7.25881490651271,26.2416417878984
"49","MNE","Montenegro",92.8810346920143,100,91.6884345882946,100,7.11896530798568,8.31156541170544
"50","PRY","Paraguay",93.123822641758,99.805546821982,60.329712459373,99.9398985722314,6.68172418022394,39.6101861128584
"51","DOM","Dominican Republic",92.3206500202746,98.3135527680963,74.9201397110693,97.0824587738803,5.99290274782162,22.1623190628111
"52","PAK","Pakistan",86.1509970443579,91.4575662328118,71.9163448959362,94.4668671487746,5.30656918845391,22.5505222528384
