"","iso3.code","area","uq1","uq5","rq1","rq5","u.diff","r.diff"
"31","PHL","Philippines",43.9991127688478,95.1236841497064,37.4650890982102,92.7637456684057,51.1245713808586,55.2986565701955
"32","LSO","Lesotho",31.9066790148925,80.3678726336735,14.1927005497409,81.2347285800384,48.461193618781,67.0420280302974
"33","KHM","Cambodia",51.4444183725435,99.4985351123484,4.05282169591845,84.1226783738826,48.0541167398049,80.0698566779641
"34","MLI","Mali",27.8326183646385,74.8415307830082,3.61184840829937,41.1614877282845,47.0089124183697,37.5496393199851
"35","ETH","Ethiopia",4.25914426377034,49.8188327047107,2.21356782978712,7.37115822274252,45.5596884409404,5.1575903929554
"36","DOM","Dominican Republic",54.1193095548421,98.9224060591077,50.3608598346318,97.7643261005421,44.8030965042656,47.4034662659104
"37","SEN","Senegal",47.0890947314606,91.0152635128866,3.73504448130218,91.0648148083354,43.9261687814261,87.3297703270332
"38","COM","Comoros",25.6124142485791,68.4589592225572,21.7252986875364,38.6478143104062,42.8465449739781,16.9225156228697
"39","BGD","Bangladesh",40.5941224996644,82.5257438931117,14.8805880658768,75.5228099995593,41.9316213934473,60.6422219336825
"40","LAO","Lao People's Democratic Republic",56.9356465780753,98.0408737073217,9.45996406762216,91.4318982261559,41.1052271292464,81.9719341585338
"41","VNM","Viet Nam",60.8562243976027,99.7984596807109,26.0939509021395,98.0896973351985,38.9422352831082,71.995746433059
"42","YEM","Yemen",59.5868113834953,97.3638078442083,4.78768192920852,62.2284051071591,37.776996460713,57.4407231779506
"43","COG","Congo",6.24771719268583,43.8519296333508,0.146016490532294,18.8491872915242,37.604212440665,18.7031708009919
"44","PAN","Panama",63.5222373575008,100,25.2359841334475,98.981752750675,36.4777626424992,73.7457686172275
"45","GIN","Guinea",31.7767090100552,67.1660388152401,1.15379434124461,34.1018745280518,35.3893298051849,32.9480801868072
"46","SLV","El Salvador",64.8911099218554,98.6898812691426,42.200215331062,79.8841177731316,33.7987713472872,37.6839024420696
"47","PRY","Paraguay",65.2327699807062,98.8089976489044,16.9107785996453,99.3993226345268,33.5762276681982,82.4885440348815
"48","PAK","Pakistan",64.6993879114825,98.097076293412,6.72460907682052,80.6034021981464,33.3976883819295,73.8787931213259
"49","COL","Colombia",70.6539833129357,99.9463608154099,14.7471261609062,88.6042578645733,29.2923775024742,73.8571317036672
"50","RWA","Rwanda",42.0954556491917,70.1294731240478,25.933558058597,80.7195618891617,28.0340174748561,54.7860038305647
"51","MDA","Republic of Moldova",68.2669595613193,95.2127616329767,50.3457787450405,75.4107285969364,26.9458020716574,25.0649498518959
"52","GTM","Guatemala",72.2130761778604,98.2741977368392,65.7267029932707,86.6259880859553,26.0611215589788,20.8992850926847
"53","NPL","Nepal",59.3469198224851,81.2789589150356,75.8459073329864,70.1975570206964,21.9320390925505,-5.64835031229005
"54","ARM","Armenia",78.6572923094011,100,24.1793404818588,59.6508627284404,21.3427076905989,35.4715222465816
"55","GUY","Guyana",79.6374386230978,98.8894187127389,64.7502122678768,97.7318856380835,19.2519800896411,32.9816733702067
